"t","x","y","dt","type"
1741.441,1406,1430,0.0799999999999272,0
1742.04,1415,1419,0.180000000000064,0
1742.28,1397,1512,0.200000000000045,0
1742.58,1344,1391,0.120000000000118,0
1742.86,1361,1411,0.180000000000064,0
1743.06,1389,1396,0.180000000000064,0
1743.4,1332,1375,0.0789999999999509,0
1743.579,1338,1376,0.1400000000001,0
1743.839,1362,1419,0.0800000000001546,0
1743.959,1350,1439,0.319999999999936,0
1744.339,1351,1453,0.120000000000118,0
1744.939,1328,1393,0.159999999999854,0
1745.318,1334,1380,0.460000000000036,0
1755.592,1371,1322,0.619999999999891,0
1756.572,866,1266,0.340000000000146,0
1756.952,1360,1292,0.0999999999999091,0
1757.072,1391,1317,0.359000000000151,0
1757.511,1483,1329,0.100000000000136,0
1757.631,1432,1346,0.240000000000009,0
1758.211,1526,1330,0.160000000000082,0
1758.451,1533,1361,0.0999999999999091,0
1758.571,1478,1327,0.379000000000133,0
1759.05,1506,1369,0.0800000000001546,0
1759.15,1396,1310,0.0799999999999272,0
1759.49,1319,1335,0.240000000000009,0
1759.87,1341,1303,0.180000000000064,0
1760.23,1380,1318,0.578999999999951,0
1760.949,1386,1321,0.0999999999999091,0
1761.089,1375,1336,0.160000000000082,0
1761.449,1401,1321,0.579999999999927,0
1762.049,1425,1377,0.180000000000064,0
1762.548,1430,1377,0.380000000000109,0
1763.008,1419,1346,0.379999999999882,0
1763.488,1458,1333,0.339999999999918,0
1763.848,1355,1309,0.100000000000136,0
1764.227,1387,1343,0.0799999999999272,0
1767.625,1466,1358,0.0999999999999091,0
1768.025,1315,1311,0.0799999999999272,0
1768.285,805,1273,0.0799999999999272,0
1768.445,806,1277,0.0800000000001546,0
1768.905,1428,1426,0.179000000000087,0
1769.104,1463,1443,0.220000000000027,0
1790.092,1596,786,0.240000000000009,0
1790.592,1745,545,0.0999999999999091,0
1792.99,1744,516,0.339999999999918,0
1793.43,1609,496,0.159999999999854,0
1793.73,1949,543,0.0799999999999272,0
1794.39,1911,569,0.139999999999873,0
1794.63,1835,614,0.498999999999796,0
1795.429,1829,639,0.199999999999818,0
1795.649,1783,696,0.120000000000118,0
1795.789,1871,583,0.200000000000045,0
1796.029,1933,608,0.319999999999936,0
1796.468,1978,577,0.179999999999836,0
1796.668,1958,588,0.160000000000082,0
1796.848,1758,645,0.120000000000118,0
1797.208,1969,582,0.259999999999991,0
1797.928,1926,602,0.0799999999999272,0
1798.387,1933,590,0.120000000000118,0
1799.367,1970,628,0.180000000000064,0
1799.786,2018,606,0.0799999999999272,0
1800.026,1992,650,0.220000000000027,0
1800.266,1953,586,0.0999999999999091,0
1800.806,1930,694,0.0799999999999272,0
1800.906,1973,762,0.220000000000027,0
1801.146,1676,754,0.220000000000027,0
1801.386,1984,814,0.119000000000142,0
1801.565,1965,718,0.480000000000018,0
1802.345,1803,748,0.240000000000009,0
1802.665,2038,713,0.240000000000009,0
1803.005,1896,688,0.218999999999824,0
1803.244,1930,700,0.340000000000146,0
1803.724,1992,655,0.100000000000136,0
1803.924,2008,730,0.240000000000009,0
1804.184,1815,718,0.200000000000045,0
1804.424,1849,686,0.120000000000118,0
1804.584,2027,744,0.119999999999891,0
1804.764,2037,786,0.419000000000096,0
1805.203,1987,722,0.0799999999999272,0
1805.663,2003,677,0.3599999999999,0
1806.443,2041,677,0.0799999999999272,0
1806.583,2018,590,0.118999999999915,0
1806.722,1926,583,0.339999999999918,0
1807.242,2052,610,0.380000000000109,0
1807.642,1784,657,0.259999999999991,0
1808.162,1788,644,0.0999999999999091,0
1808.501,1672,603,0.360000000000127,0
1808.881,1962,672,0.299999999999955,0
1809.261,1739,612,0.100000000000136,0
1854.914,1323,1296,0.620000000000118,0
1855.594,1356,1314,0.159999999999854,0
1856.034,1389,1330,0.278999999999996,0
1856.373,1251,1294,0.119999999999891,0
1856.693,1368,1353,0.0999999999999091,0
1856.813,1418,1345,0.119999999999891,0
1857.053,1407,1264,0.279999999999973,0
1857.773,1380,1349,0.379000000000133,0
1858.172,1371,1253,0.0999999999999091,0
1858.352,1379,1487,0.799999999999955,0
1859.731,2830,1497,0.120000000000118,0
1859.931,2603,1466,0.779999999999973,0
1860.731,2755,1509,0.519000000000005,0
1861.37,2566,1493,0.180000000000064,0
1899.368,1367,1564,0.279999999999973,0
1899.668,1347,1378,0.0800000000001546,0
1900.028,1426,1405,0.558999999999969,0
1900.607,1384,1396,0.740000000000009,0
1901.367,1376,1334,0.0799999999999272,0
1901.547,1369,1376,0.3599999999999,0
1901.967,1462,1493,2.57799999999997,0
1904.565,1528,1529,0.379999999999882,0
1904.965,1562,1569,0.939000000000078,0
1906.524,1541,1534,1.17900000000009,0
1907.743,1942,1538,0.100000000000136,0
1908.043,1747,1570,0.220000000000027,0
1908.283,1875,1541,0.259999999999991,0
1908.563,1834,1550,0.159999999999854,0
1908.883,1762,1545,0.398999999999887,0
1909.582,1412,1396,0.0999999999999091,0
1909.782,1491,1493,0.180000000000064,0
1910.122,1439,1345,0.139999999999873,0
1910.322,1446,1374,0.100000000000136,0
1910.442,1417,1414,0.199000000000069,0
1910.661,1370,1401,0.179999999999836,0
1911.181,1375,1282,0.0799999999999272,0
1911.301,1294,1326,0.1400000000001,0
1911.461,1379,1378,0.240000000000009,0
1911.861,779,1320,0.159999999999854,0
1936.346,1334,1482,0.460000000000036,0
1936.826,1296,1468,0.139999999999873,0
1937.206,683,1255,0.259999999999991,2
1937.486,1106,1379,1.35899999999992,0
1938.865,1193,1405,0.838999999999942,0
1939.904,1185,1396,0.319999999999936,0
1940.384,1686,1320,0.220000000000027,0
1940.624,1646,1331,0.0799999999999272,0
1940.824,1554,1292,0.119999999999891,0
1941.024,1552,1308,0.160000000000082,0
1941.244,1551,1295,0.439000000000078,0
1941.783,1440,1558,0.540000000000191,0
1942.343,1332,1440,0.299999999999955,0
1942.743,1417,1461,0.100000000000136,0
1942.863,1350,1450,0.378999999999905,0
2014.62,1393,1347,0.760000000000218,0
2015.5,1539,1237,0.0799999999999272,0
2015.6,507,1555,0.100000000000136,2
2015.72,1187,1339,0.180000000000064,0
2015.94,1449,1308,1.779,0
2017.739,1369,1311,0.979000000000042,0
2018.758,1335,1240,0.460000000000036,0
2051.019,1834,1429,0.080000000000382,0
2051.119,1944,1397,0.199999999999818,0
2051.559,1403,1370,0.618999999999687,0
2052.238,2072,1382,1.39900000000034,0
2053.657,1828,1415,0.159999999999854,0
2057.555,1945,805,0.200000000000273,0
2057.775,1978,716,0.0999999999999091,0
2057.895,2016,674,0.260000000000218,0
2058.195,2028,800,0.798999999999978,0
2059.014,2071,603,0.299999999999727,0
2059.374,1989,572,0.519999999999982,0
2060.393,2319,502,0.139999999999873,0
2060.593,2306,571,0.900000000000091,0
2061.773,1787,565,0.0999999999999091,0
2061.893,1695,608,0.0999999999999091,0
2062.013,1755,625,0.199000000000069,0
2062.272,1775,588,0.180000000000291,0
2062.612,1820,545,0.299999999999727,0
2062.932,1842,770,0.140000000000327,0
2063.112,1898,741,0.119999999999891,0
2063.352,1852,765,0.0799999999999272,0
2063.452,1793,608,0.119999999999891,0
2063.592,1720,717,0.119999999999891,0
2064.151,967,899,0.240000000000236,0
2065.171,759,669,0.160000000000309,0
2072.806,1768,1330,0.0799999999999272,0
2072.986,1894,1399,0.240000000000236,0
2073.486,1900,1385,0.120000000000346,0
2073.726,1070,1152,0.0999999999999091,0
2073.886,1901,1384,0.418999999999869,0
2074.505,1807,767,0.579999999999927,0
2075.245,1855,801,0.140000000000327,0
2075.465,1855,722,0.278999999999996,0
2076.004,1190,742,0.119999999999891,0
2076.304,1526,687,0.579999999999927,0
2076.904,1732,649,0.119999999999891,0
2077.044,1534,675,0.120000000000346,0
2077.363,1601,668,0.240000000000236,0
2077.623,1822,640,0.179999999999836,0
2077.863,1816,749,0.539999999999964,0
2078.463,1828,797,0.658999999999651,0
2079.202,1755,808,0.119999999999891,0
2079.402,1806,827,0.0799999999999272,0
2079.502,1703,792,0.159999999999854,0
2079.702,1936,752,0.679999999999836,0
2080.402,1773,779,0.199999999999818,0
2080.622,1782,765,0.579000000000178,0
2081.321,1725,776,0.5,0
2081.841,1692,754,0.320000000000164,0
2082.241,1641,813,0.199000000000069,0
2082.461,1573,825,0.199000000000069,0
2082.68,1811,756,1.01999999999998,0
2083.76,1812,740,0.0799999999999272,0
2083.86,1842,832,0.558999999999742,0
2084.519,1845,801,0.100000000000364,0
2084.639,1869,739,0.460000000000036,0
2085.579,1449,805,0.119999999999891,0
2089.976,1491,1710,0.339999999999691,0
2090.336,1441,1661,0.380000000000109,0
2090.756,1650,1803,0.719000000000051,0
2091.495,1513,1887,0.240000000000236,0
2091.755,1439,1893,0.359999999999673,0
2098.171,1725,880,0.440000000000055,0
2098.651,1752,830,1.23900000000003,0
2099.95,1555,970,0.400000000000091,0
2100.37,1743,855,0.599999999999909,0
2101.05,1722,879,0.0989999999997053,0
2101.329,1782,786,0.139999999999873,0
2101.489,1740,808,0.239999999999782,0
2101.849,1758,890,1.69899999999961,0
2103.608,1581,1067,0.879999999999654,0
2104.627,1899,761,0.0799999999999272,0
2104.727,1967,752,0.140000000000327,0
2104.887,2008,658,0.599999999999909,0
2105.547,1928,836,1.13900000000012,0
2106.786,1484,1184,0.259999999999764,0
2107.226,1460,1332,0.339999999999691,0
2107.586,1353,1465,0.37900000000036,0
2108.105,1370,1494,1.19999999999982,0
2109.345,1328,1356,0.200000000000273,0
2109.625,1420,1251,0.539000000000215,0
2110.184,1447,1277,0.619999999999891,0
2110.944,1216,1393,0.159999999999854,0
2111.204,1450,1180,1.37899999999991,0
2112.603,1414,1217,0.139999999999873,0
2112.783,1377,1261,0.0799999999999272,0
2112.883,515,1843,0.120000000000346,2
2113.023,1331,1142,0.0789999999997235,0
2113.162,1258,1194,0.160000000000309,0
2113.442,1340,1030,0.159999999999854,0
2113.682,1298,1238,0.200000000000273,0
2113.902,1289,1253,0.539999999999964,0
2114.462,1426,1081,0.260000000000218,0
2114.941,1406,1103,0.200000000000273,0
2115.161,1353,1115,0.139999999999873,0
2115.321,1467,1102,0.160000000000309,0
2115.561,1472,1103,0.139999999999873,0
2115.741,1423,1087,0.778999999999996,0
2116.54,1423,1084,0.760000000000218,0
2117.32,1356,1098,0.259999999999764,0
2118.04,1316,1911,1.43899999999985,0
